rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_binary,Binary CountVectorizer,count_binary,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_binary__logreg_balanced,completed,0.7473684210526316,0.5095454908539021,0.7275820752456267,0.49503161698283654,0.5254122046574877,0.051444053649902344,0.00539398193359375,116.65625,60.17067110623431,97.03457176208497,100,77.50078346084587,
2,count_word,CountVectorizer Word,count,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_word__complement_nb,completed,0.7157894736842105,0.4899851921128517,0.6979289467531349,0.48825654923215894,0.5174230834608192,0.012772321701049805,0.0030286312103271484,186.8486328125,57.76278257017339,96.00467554092407,100,75.97046552178018,
3,tfidf_word,TF-IDF Word,tfidf,low,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_word__complement_nb,completed,0.7157894736842105,0.48946832667762896,0.6977955812717135,0.47900029577048214,0.5119836817950025,0.013126611709594727,0.003435373306274414,204.3994140625,57.72977016183871,95.62712965011596,100,75.87679951903448,
4,count_word,CountVectorizer Word,count,low,ridge_classifier,Ridge Classifier,linear,low,count_word__ridge_classifier,completed,0.7052631578947368,0.48463782012865075,0.6905328765999861,0.47303030303030297,0.5002549719530851,0.031081199645996094,0.0033245086669921875,116.5361328125,57.06784130408726,97.28331962585449,100,75.8439766424189,
5,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_bigram__complement_nb,completed,0.7263157894736842,0.4972202646621251,0.7068531088114932,0.4858030168589174,0.5209926908040116,0.039221763610839844,0.008640766143798828,342.8017578125,58.59390724874201,92.39018829345704,100,75.70468664549952,
6,count_binary,Binary CountVectorizer,count_binary,low,ridge_classifier,Ridge Classifier,linear,low,count_binary__ridge_classifier,completed,0.7052631578947368,0.4788347014324803,0.686182622175913,0.4662698412698412,0.49209586945436,0.027422666549682617,0.0032470226287841797,116.5361328125,56.65440036595594,97.30991998672485,100,75.62190419862074,
7,tfidf_word,TF-IDF Word,tfidf,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_word__ridge_classifier,completed,0.6947368421052632,0.47359696897939857,0.6776325136782282,0.46074074074074073,0.4912459629440762,0.03396344184875488,0.005892038345336914,134.2119140625,55.948726896568914,96.75845876693725,100,75.12349154650036,
8,count_binary,Binary CountVectorizer,count_binary,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_binary__complement_nb,completed,0.6947368421052632,0.47561165653732274,0.6788612484929012,0.47727272727272724,0.5021247662757097,0.016439437866210938,0.003866434097290039,186.8486328125,56.088039172264466,95.93240467071533,100,75.03490247888853,
9,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,ridge_classifier,Ridge Classifier,linear,low,count_bigram__ridge_classifier,completed,0.6947368421052632,0.47202180535513866,0.6762765499607605,0.45909090909090916,0.48580656127825944,0.05086493492126465,0.005156040191650391,217.7548828125,55.833877623351306,95.0303503227234,100,74.7147027573879,
10,tfidf_word,TF-IDF Word,tfidf,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word__logreg_balanced,completed,0.6842105263157895,0.46782255545142143,0.6681546885019484,0.4612299465240642,0.4903960564337923,0.04011869430541992,0.006000995635986328,134.30078125,55.19693681250925,96.7132124710083,100,74.70095774108175,
11,count_word,CountVectorizer Word,count,low,linear_svc,LinearSVC,margin_based,medium,count_word__linear_svc,completed,0.7263157894736842,0.49982106644399377,0.7107341298492563,0.4885265700483092,0.5182729899711032,0.026442289352416992,0.005400657653808594,116.48046875,58.80817067122057,97.18769742965699,85,74.53203335510271,
12,count_word,CountVectorizer Word,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_word__logreg_balanced,completed,0.6736842105263158,0.4627687361864577,0.659405475714603,0.45146520146520147,0.4759476457589665,0.062258005142211914,0.005362749099731445,116.65625,54.4993115700644,96.97156202316285,100,74.36893376816799,
13,count_binary,Binary CountVectorizer,count_binary,low,linear_svc,LinearSVC,margin_based,medium,count_binary__linear_svc,completed,0.7263157894736842,0.49476795271187796,0.7071676315158854,0.4807286961758506,0.5101138874723781,0.033884286880493164,0.006250143051147461,116.48046875,58.45148637229307,97.0920763206482,85,74.31673276889083,
14,tfidf_word,TF-IDF Word,tfidf,low,linear_svc,LinearSVC,margin_based,medium,tfidf_word__linear_svc,completed,0.7052631578947368,0.48129773997952596,0.6878486080545091,0.46864832889677616,0.5002549719530851,0.024698495864868164,0.005712032318115234,134.15625,56.82717246695761,96.82596208572389,85,73.37013727397147,
15,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_bigram__logreg_balanced,completed,0.6526315789473685,0.44420480869079,0.6354963613202669,0.4316470942487203,0.4579296277409484,0.20014333724975586,0.009558677673339844,217.859375,52.500523414935614,93.86843181610108,100,72.64897424143481,
16,count_word,CountVectorizer Word,count,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_word__bernoulli_nb,completed,0.6526315789473685,0.42311111111111116,0.6183298245614035,0.44484702093397743,0.4334523202447731,0.01277470588684082,0.0034987926483154297,169.1923828125,50.977403508771935,96.32957654953003,100,72.30348723973057,
