rank_300R,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_word,CountVectorizer Word,count,low,ridge_classifier,Ridge Classifier,linear,low,count_word__ridge_classifier,completed,1.0,1.0,1.0,1.0,1.0,0.016310691833496094,0.0017309188842773438,16.0048828125,100.0,99.47818305969238,100,99.89563661193849,
2,count_binary,Binary CountVectorizer,count_binary,low,ridge_classifier,Ridge Classifier,linear,low,count_binary__ridge_classifier,completed,1.0,1.0,1.0,1.0,1.0,0.017328977584838867,0.0017843246459960938,16.0048828125,100.0,99.4688689994812,100,99.89377379989625,
3,tfidf_word,TF-IDF Word,tfidf,low,ridge_classifier,Ridge Classifier,linear,low,tfidf_word__ridge_classifier,completed,1.0,1.0,1.0,1.0,1.0,0.012241601943969727,0.002140522003173828,18.3681640625,100.0,99.43075578689576,100,99.88615115737916,
4,count_binary,Binary CountVectorizer,count_binary,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_binary__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.016292572021484375,0.0025970935821533203,16.125,100.0,99.4239189529419,100,99.88478379058839,
5,count_word,CountVectorizer Word,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_word__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.017164230346679688,0.002872467041015625,16.125,100.0,99.402166595459,100,99.88043331909181,
6,count_word,CountVectorizer Word,count,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_word__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.005748748779296875,0.0015692710876464844,25.1298828125,100.0,99.36875358581543,100,99.87375071716309,
7,count_binary,Binary CountVectorizer,count_binary,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_binary__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.006605386734008789,0.0016498565673828125,25.1298828125,100.0,99.35877862930298,100,99.8717557258606,
8,tfidf_word,TF-IDF Word,tfidf,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word__logreg_balanced,completed,1.0,1.0,1.0,1.0,1.0,0.01616954803466797,0.003207683563232422,18.45703125,100.0,99.34138107299805,100,99.86827621459962,
9,tfidf_word,TF-IDF Word,tfidf,low,complement_nb,Complement Naive Bayes,naive_bayes,low,tfidf_word__complement_nb,completed,1.0,1.0,1.0,1.0,1.0,0.0068683624267578125,0.0021238327026367188,27.4150390625,100.0,99.28305908203126,100,99.85661181640626,
10,count_bigram,CountVectorizer 1-2 grams,count_ngram,low,ridge_classifier,Ridge Classifier,linear,low,count_bigram__ridge_classifier,completed,1.0,1.0,1.0,1.0,1.0,0.058751583099365234,0.005864381790161133,66.8955078125,100.0,97.95771743774415,100,99.59154348754885,
