rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_binary,Binary CountVectorizer,count_binary,low,ridge_classifier,Ridge Classifier,linear,low,count_binary__ridge_classifier,completed,0.75,0.750445632798574,0.7379679144385027,0.7833333333333333,0.7619047619047619,0.011021614074707031,0.0012233257293701172,16.5673828125,74.84625668449198,99.52912311553956,100,86.0712657995785,
2,count_binary,Binary CountVectorizer,count_binary,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_binary__complement_nb,completed,0.7,0.6965811965811967,0.6852564102564103,0.6940476190476191,0.7142857142857143,0.0038018226623535156,0.0007839202880859375,25.8642578125,69.57371794871796,99.41286869049073,100,83.14811860989303,
3,count_word,CountVectorizer Word,count,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_word__complement_nb,completed,0.7,0.6904761904761906,0.6821428571428572,0.6880952380952382,0.7142857142857143,0.005924701690673828,0.0011229515075683594,25.8642578125,69.16071428571429,99.37978954315186,100,82.91435076577324,
4,count_binary,Binary CountVectorizer,count_binary,low,linear_svc,LinearSVC,margin_based,medium,count_binary__linear_svc,completed,0.7,0.6888888888888888,0.6733333333333333,0.7373737373737373,0.7142857142857143,0.0051920413970947266,0.001104593276977539,16.51171875,68.93333333333332,99.57233777999878,85,80.57780088933309,
5,count_word,CountVectorizer Word,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_word__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.015032052993774414,0.0011818408966064453,16.6875,64.78475935828878,99.50514722824097,100,80.53264709270702,
6,count_binary,Binary CountVectorizer,count_binary,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_binary__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.011748790740966797,0.0017440319061279297,16.6875,64.78475935828878,99.49111534118653,100,80.52984071529613,
7,count_binary,Binary CountVectorizer,count_binary,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_binary__multinomial_nb,completed,0.65,0.6428571428571429,0.6321428571428571,0.6404761904761905,0.6666666666666666,0.0038709640502929688,0.0007328987121582031,23.4580078125,64.30357142857143,99.46364013671875,100,80.25969231305804,
8,count_word,CountVectorizer Word,count,low,random_forest_small,Small Random Forest,tree_based,high,count_word__random_forest_small,completed,0.75,0.7270955165692007,0.7134502923976609,0.8611111111111112,0.7619047619047619,0.08146405220031738,0.007538318634033203,161.4521484375,73.07748538011695,95.8298736000061,70,79.85859167906555,
9,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_bigram__random_forest_small,completed,0.75,0.715099715099715,0.7047008547008546,0.8311688311688311,0.7619047619047619,0.13487529754638672,0.008295536041259766,160.5439453125,72.22649572649573,95.48213714599609,70,79.32100007877187,
10,count_word,CountVectorizer Word,count,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_word__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.003656148910522461,0.0010135173797607422,23.4736328125,61.30982905982905,99.44777940750123,100,78.60996186440623,
11,count_binary,Binary CountVectorizer,count_binary,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_binary__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.005687713623046875,0.0012059211730957031,23.4736328125,61.30982905982905,99.42404579162599,100,78.60521514123118,
12,tfidf_word,TF-IDF Word,tfidf,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_word__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.00392460823059082,0.0013947486877441406,25.8056640625,61.30982905982905,99.3766541481018,100,78.59573681252634,
13,tfidf_word,TF-IDF Word,tfidf,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_word__random_forest_small,completed,0.7,0.7083333333333334,0.69375,0.7185185185185187,0.7142857142857143,0.08200955390930176,0.005025148391723633,152.2314453125,70.40625,96.16180486679077,70,78.45579847335816,
14,tfidf_word,TF-IDF Word,tfidf,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.008928298950195312,0.0016415119171142578,19.06640625,60.541666666666664,99.46661136627198,100,78.19123893992106,
15,count_word,CountVectorizer Word,count,low,ridge_classifier,Ridge Classifier,linear,low,count_word__ridge_classifier,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.013932228088378906,0.0013935565948486328,16.5673828125,60.48232323232323,99.50144557952882,100,78.16556689368355,
16,hashing_word,HashingVectorizer Word,hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_word__ridge_classifier,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.008878707885742188,0.00156402587890625,49.4306640625,64.78475935828878,98.86427291870118,85,78.15447223079907,
17,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char_wb__random_forest_small,completed,0.75,0.750445632798574,0.7379679144385027,0.7833333333333333,0.7619047619047619,0.18457388877868652,0.011668682098388672,265.7783203125,74.84625668449198,92.87686933517456,55,77.9908150435055,
18,count_binary,Binary CountVectorizer,count_binary,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_binary__sgd_hinge,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.007473945617675781,0.001171112060546875,16.849609375,62.308479532163744,99.54789741516115,85,76.9292432257223,
19,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.0033998489379882812,0.0009672641754150391,97.3369140625,62.308479532163744,97.97482677459718,85,76.61462909760951,
