rank,vectorizer_id,vectorizer_name,vectorizer_family,vectorizer_complexity,classifier_id,classifier_name,classifier_family,classifier_complexity,pipeline_id,status,accuracy,macro_f1,weighted_f1,precision_macro,recall_macro,train_time_sec,prediction_time_sec,model_size_kb,performance_score,efficiency_score,suitability_score,final_score,error
1,count_binary,Binary CountVectorizer,count_binary,low,ridge_classifier,Ridge Classifier,linear,low,count_binary__ridge_classifier,completed,0.75,0.750445632798574,0.7379679144385027,0.7833333333333333,0.7619047619047619,0.01177668571472168,0.001253366470336914,16.5673828125,74.84625668449198,99.52279024124147,100,86.06999922471888,
2,count_binary,Binary CountVectorizer,count_binary,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_binary__complement_nb,completed,0.7,0.6965811965811967,0.6852564102564103,0.6940476190476191,0.7142857142857143,0.0033845901489257812,0.0007996559143066406,25.8642578125,69.57371794871796,99.41442794799805,100,83.1484304613945,
3,count_word,CountVectorizer Word,count,low,complement_nb,Complement Naive Bayes,naive_bayes,low,count_word__complement_nb,completed,0.7,0.6904761904761906,0.6821428571428572,0.6880952380952382,0.7142857142857143,0.006311178207397461,0.0012373924255371094,25.8642578125,69.16071428571429,99.37060422897339,100,82.91251370293755,
4,count_binary,Binary CountVectorizer,count_binary,low,linear_svc,LinearSVC,margin_based,medium,count_binary__linear_svc,completed,0.7,0.6888888888888888,0.6733333333333333,0.7373737373737373,0.7142857142857143,0.005404949188232422,0.0011286735534667969,16.51171875,68.93333333333332,99.5696155166626,85,80.57725643666586,
5,count_binary,Binary CountVectorizer,count_binary,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_binary__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.012081384658813477,0.0012161731719970703,16.6875,64.78475935828878,99.5207913017273,100,80.53577590740429,
6,count_word,CountVectorizer Word,count,low,logreg_balanced,Logistic Regression Balanced,linear,low,count_word__logreg_balanced,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.012774944305419922,0.0012135505676269531,16.6875,64.78475935828878,99.51678730010987,100,80.53497510708081,
7,count_binary,Binary CountVectorizer,count_binary,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_binary__multinomial_nb,completed,0.65,0.6428571428571429,0.6321428571428571,0.6404761904761905,0.6666666666666666,0.004332304000854492,0.0009038448333740234,23.4580078125,64.30357142857143,99.45061532974243,100,80.25708735166278,
8,count_word,CountVectorizer Word,count,low,random_forest_small,Small Random Forest,tree_based,high,count_word__random_forest_small,completed,0.75,0.7270955165692007,0.7134502923976609,0.8611111111111112,0.7619047619047619,0.08911347389221191,0.004529476165771484,161.4521484375,73.07748538011695,95.96450761795043,70,79.88551848265442,
9,tfidf_bigram,TF-IDF 1-2 grams,tfidf_ngram,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_bigram__random_forest_small,completed,0.75,0.715099715099715,0.7047008547008546,0.8311688311688311,0.7619047619047619,0.08508610725402832,0.005202293395996094,160.5439453125,72.22649572649573,95.96646684646606,70,79.41786601886587,
10,count_binary,Binary CountVectorizer,count_binary,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_binary__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.004177570343017578,0.0012485980987548828,23.4736328125,61.30982905982905,99.43054603576661,100,78.6065151900593,
11,count_word,CountVectorizer Word,count,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,count_word__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.0058214664459228516,0.0024003982543945312,23.4736328125,61.30982905982905,99.3515746498108,100,78.59072091286814,
12,tfidf_word,TF-IDF Word,tfidf,low,bernoulli_nb,Bernoulli Naive Bayes,naive_bayes,low,tfidf_word__bernoulli_nb,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.005408763885498047,0.0017066001892089844,25.8056640625,61.30982905982905,99.34903812408447,100,78.59021360772287,
13,tfidf_word,TF-IDF Word,tfidf,low,random_forest_small,Small Random Forest,tree_based,high,tfidf_word__random_forest_small,completed,0.7,0.7083333333333334,0.69375,0.7185185185185187,0.7142857142857143,0.08344173431396484,0.005082607269287109,152.2314453125,70.40625,96.14976425170899,70,78.4533903503418,
14,tfidf_word,TF-IDF Word,tfidf,low,logreg_balanced,Logistic Regression Balanced,linear,low,tfidf_word__logreg_balanced,completed,0.6,0.611111111111111,0.5916666666666666,0.6148148148148148,0.619047619047619,0.019633769989013672,0.0020093917846679688,19.06640625,60.541666666666664,99.38030574798584,100,78.17397781626383,
15,count_word,CountVectorizer Word,count,low,ridge_classifier,Ridge Classifier,linear,low,count_word__ridge_classifier,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.014718770980834961,0.0013854503631591797,16.5673828125,60.48232323232323,99.49721269607545,100,78.16472031699287,
16,hashing_word,HashingVectorizer Word,hashing,medium,ridge_classifier,Ridge Classifier,linear,low,hashing_word__ridge_classifier,completed,0.65,0.6506238859180037,0.6331550802139038,0.6666666666666666,0.6666666666666666,0.009027957916259766,0.0015645027160644531,49.4306640625,64.78475935828878,98.86334880828858,85,78.15428740871656,
17,tfidf_char_wb,Character WB TF-IDF,char_wb_tfidf,medium,random_forest_small,Small Random Forest,tree_based,high,tfidf_char_wb__random_forest_small,completed,0.75,0.750445632798574,0.7379679144385027,0.7833333333333333,0.7619047619047619,0.1104271411895752,0.011917591094970703,265.7783203125,74.84625668449198,93.30681528091431,55,78.07680423265344,
18,count_binary,Binary CountVectorizer,count_binary,low,sgd_hinge,SGDClassifier Hinge Loss,sgd,medium,count_binary__sgd_hinge,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.00668787956237793,0.0009086132049560547,16.849609375,62.308479532163744,99.56836374282838,85,76.93333649125574,
19,hashing_word,HashingVectorizer Word,hashing,medium,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,hashing_word__multinomial_nb,completed,0.65,0.6179337231968811,0.5988304093567252,0.6666666666666666,0.6666666666666666,0.0037221908569335938,0.0010478496551513672,97.3369140625,62.308479532163744,97.96805759429932,85,76.61327526154993,
20,count_word,CountVectorizer Word,count,low,multinomial_nb,Multinomial Naive Bayes,naive_bayes,low,count_word__multinomial_nb,completed,0.6,0.5704374057315235,0.5528054298642534,0.5634920634920635,0.6190476190476191,0.0053310394287109375,0.0013210773468017578,23.4580078125,57.51832579185521,99.41958896636963,100,76.51899697879429,
21,count_binary,Binary CountVectorizer,count_binary,low,passive_aggressive,Passive Aggressive Classifier,online_margin,medium,count_binary__passive_aggressive,completed,0.65,0.6039886039886039,0.5880341880341879,0.6341991341991342,0.6666666666666666,0.00799870491027832,0.0008726119995117188,16.849609375,61.30982905982905,99.56265886306764,85,76.3829377555195,
22,count_binary,Binary CountVectorizer,count_binary,low,random_forest_small,Small Random Forest,tree_based,high,count_binary__random_forest_small,completed,0.7,0.65,0.6325,0.8461538461538461,0.7142857142857143,0.08346676826477051,0.0046160221099853516,160.7646484375,65.9875,96.00694509506226,70,75.99451401901246,
23,count_word,CountVectorizer Word,count,low,linear_svc,LinearSVC,margin_based,medium,count_word__linear_svc,completed,0.6,0.6094276094276094,0.5944444444444444,0.6515151515151515,0.6111111111111112,0.007416725158691406,0.0011489391326904297,16.51171875,60.48232323232323,99.55632892608642,85,75.92654356299506,
